user_id,age,gender,hobbies
1,58,male,sports
2,25,male,travel
3,19,female,"gaming,fashion"
4,65,female,"fashion,gaming,art"
5,35,female,"cooking,tech,fashion"
6,33,male,"books,cooking"
7,32,male,"books,gaming"
8,26,male,"tech,fashion"
9,65,female,"tech,fashion"
10,24,male,"travel,fashion,gaming"
11,61,female,art
12,65,male,"art,fashion,gaming"
13,52,female,"gaming,fashion,tech"
14,23,male,"cars,music,cooking"
15,55,female,"cars,sports,cooking"
16,45,male,"sports,art,cars"
17,20,male,books
18,19,female,"travel,fashion"
19,23,female,"books,music,cars"
20,31,female,"travel,sports"
21,32,female,"tech,fashion,books"
22,50,female,"art,cooking,books"
23,56,male,"cooking,sports"
24,19,male,tech
25,53,male,"fashion,art"
26,30,female,"fashion,gaming"
27,63,female,"art,travel"
28,59,male,"cooking,art,books"
29,62,female,"cooking,sports"
30,52,male,music
31,44,male,gaming
32,32,female,"art,cooking"
33,46,male,"sports,fashion,tech"
34,55,female,"cooking,music"
35,35,female,books
36,69,female,"sports,books,tech"
37,18,female,books
38,66,male,music
39,69,female,"gaming,fashion,art"
40,28,male,"fashion,tech"
41,62,female,cars
42,45,female,"art,sports"
43,39,female,tech
44,35,male,cars
45,27,female,art
46,31,male,travel
47,66,female,"sports,tech"
48,39,female,"sports,cooking"
49,24,male,"gaming,cars,fashion"
50,23,male,cooking
51,42,female,"books,gaming,cooking"
52,24,male,"fashion,tech,travel"
53,40,female,travel
54,40,male,"gaming,tech"
55,56,male,"fashion,gaming"
56,34,male,"cars,sports,music"
57,69,male,"art,fashion,cooking"
58,20,male,fashion
59,64,male,cooking
60,47,male,"gaming,sports"
61,52,male,"travel,cars"
62,25,male,cooking
63,42,male,fashion
64,23,male,"travel,gaming"
65,53,female,"tech,cars"
66,36,female,travel
67,58,male,"cars,sports"
68,57,female,"cars,sports"
69,41,female,art
70,54,female,"art,music,cooking"
71,30,male,music
72,63,male,"tech,books"
73,22,male,"sports,cooking"
74,20,female,"books,tech"
75,60,male,travel
76,32,male,travel
77,67,female,cars
78,36,male,fashion
79,23,male,art
80,32,female,"fashion,gaming,travel"
81,24,male,"fashion,cooking,music"
82,42,male,cars
83,35,female,"sports,art,travel"
84,47,male,"art,travel,gaming"
85,58,female,"gaming,books"
86,41,male,books
87,28,female,gaming
88,41,male,cars
89,40,female,"sports,cooking"
90,31,female,fashion
91,60,male,travel
92,35,male,fashion
93,62,female,"fashion,cars,art"
94,61,male,"sports,music,cooking"
95,59,male,"sports,fashion,tech"
96,22,male,"sports,music,books"
97,56,male,"fashion,tech"
98,58,female,"travel,gaming,art"
99,28,male,cars
100,52,female,art
101,64,female,"travel,books,cooking"
102,33,female,gaming
103,28,female,"cooking,tech"
104,47,male,cooking
105,42,male,"books,music,cooking"
106,35,female,"tech,sports"
107,58,female,"music,fashion,cars"
108,62,female,"books,music,sports"
109,53,female,"cars,cooking,fashion"
110,32,female,"books,gaming,sports"
111,61,female,books
112,38,male,"art,tech,gaming"
113,67,male,"cooking,gaming,books"
114,67,male,"books,tech"
115,21,male,tech
116,32,female,"travel,gaming"
117,70,male,cooking
118,20,female,"gaming,cooking,art"
119,69,male,"music,art"
120,38,male,"art,books"
121,43,female,"cars,travel"
122,35,female,cooking
123,22,female,fashion
124,31,female,tech
125,54,female,"books,cars,music"
126,63,male,art
127,38,female,cars
128,31,male,"sports,music"
129,59,male,"sports,cars"
130,49,female,"art,sports"
131,43,female,"music,books,cooking"
132,59,male,travel
133,47,female,"fashion,art,sports"
134,27,female,sports
135,34,female,"cooking,fashion"
136,26,female,"tech,art"
137,33,female,"cars,travel,gaming"
138,65,male,fashion
139,53,male,"sports,books"
140,52,female,music
141,34,female,"music,cooking"
142,65,female,"cooking,gaming"
143,55,male,gaming
144,45,male,cars
145,55,male,"sports,cooking,art"
146,43,female,sports
147,41,male,"cars,cooking"
148,32,male,"books,cooking"
149,26,female,sports
150,50,female,"tech,cooking"
151,49,female,"music,cooking,fashion"
152,23,female,tech
153,66,male,gaming
154,21,male,"fashion,sports"
155,25,male,fashion
156,27,female,art
157,58,male,travel
158,28,male,"music,cars"
159,68,female,"cooking,fashion"
160,61,female,"sports,music,travel"
161,45,male,gaming
162,56,male,cars
163,22,female,cars
164,42,female,"art,sports"
165,42,female,travel
166,56,female,"cars,tech"
167,47,male,sports
168,51,male,"gaming,tech"
169,34,female,"books,gaming,cars"
170,53,male,"cars,tech"
171,18,female,sports
172,61,male,music
173,64,male,fashion
174,25,female,"tech,music,travel"
175,61,female,"cooking,tech,travel"
176,52,female,"music,cooking"
177,66,female,books
178,35,male,tech
179,67,male,"books,cars,travel"
180,59,male,"books,gaming"
181,39,female,music
182,25,male,"tech,sports"
183,36,female,"sports,tech,fashion"
184,45,male,"tech,books"
185,28,female,"travel,art"
186,47,female,"tech,art"
187,18,male,"books,fashion,sports"
188,64,female,travel
189,64,female,"fashion,music,cooking"
190,34,male,art
191,50,female,"cooking,sports,books"
192,66,female,sports
193,29,male,"books,tech,cars"
194,50,female,"gaming,tech,cars"
195,24,female,"books,tech"
196,58,female,"music,travel,cooking"
197,37,female,books
198,58,male,fashion
199,50,male,"cooking,gaming,cars"
200,56,female,books
201,30,male,"cars,gaming,travel"
202,27,female,cars
203,41,male,"cars,sports"
204,66,female,cooking
205,28,male,gaming
206,52,female,travel
207,67,female,"art,cars,cooking"
208,51,female,sports
209,18,male,"tech,art"
210,56,male,"art,travel,tech"
211,38,male,"music,travel,cars"
212,49,male,"gaming,cars"
