user_id,product_id,target
83811,B07R9RZM7S,1
36049,B081H1L3SB,1
96531,B07Y3ZX76D,0
71483,B000EVU89I,0
4166,B08SHHXZDW,1
30496,B0BB3DCCQ7,0
73564,B09VXF61GS,0
91925,B0BY49GGYL,0
58879,B0CDPVGMS5,0
852,B0CHDF7MNC,0
44598,B093B4T1LD,0
44119,B07WY7BQ5K,0
12677,B0BMKMZS7P,0
79132,B0B425DNNK,0
95648,B0BBR1KWDT,0
49616,B078RJV3F7,0
82398,B09NQR5KRT,0
47401,B0CDLM9BXQ,0
9117,B07VMH6MQT,0
37931,B0BXS6F4VL,0
13239,B00TZ73MUY,1
83321,B003W0AAJG,1
46567,B0CDRTYFN3,0
91989,B06X97TW23,1
83228,B09YF76TBG,0
32088,B077K3YLVJ,0
35383,B07MC8VF36,0
28786,B085T13675,0
7332,B0BFZNG7NN,0
41348,B0C6K9DC81,1
27654,B074KRZKDN,0
41246,B0C8MX6FHC,0
51857,B0C7VGJ7Z8,0
34719,B0BR9ZZ73F,0
73580,B071KJ7XHK,1
76623,B00I4J7C0A,0
52351,B0851LR4H4,0
18132,B099YM9TFP,0
99062,B093SXNR7X,0
20034,B07DR9R92N,1
89193,B0173GPLA2,0
50433,B0714PCC1R,0
61349,B01M6BK7OV,0
72513,B01LB2XPIO,0
15015,B08F2VTFBN,0
84013,B09NVMTRNR,1
56986,B09ZVQ6HPP,0
94647,B0BQBLNZY5,0
99872,B094BKKPXX,0
13948,B07D2MLD8D,0
83749,B007ZSW6UW,0
20033,B00FFZQ11M,0
70698,B0995BXYK5,0
78505,B0C35NDZH2,0
14663,B0C36DJB2J,0
40307,B00L5E0V72,1
74365,B0BHT6J6X2,1
63700,B00WRRX4FW,0
69823,B0BGN49YCN,1
62297,B07XY1LDQG,1
69164,B0734CKC14,1
27761,B07WBWQBJP,0
90423,B015RA5P0C,0
52297,B00076RC0S,0
67840,B09SPTD4Q1,1
29452,B0B2X4BMV2,0
77111,B0C76Q9XBS,0
28865,B08S38J5CN,1
82720,B08HDHNC7Q,0
4118,B0CBRTFS7Z,1
31196,B06Y1RNR7N,0
28081,B0008GQ0GY,1
74848,B00L9X5W9G,0
61994,B09H7L8TC2,1
12705,B084HK7B57,0
55520,B0CFDWYN62,0
95562,B09FYQD82P,0
84697,B07517F48D,1
95449,B08TM5K38K,0
14323,B07WMTZCBF,1
70293,B09NDQD18F,1
24051,B098SL3VWL,0
9881,B0B9BMFS4X,0
72133,B0BFJH9779,1
70856,B09NXYD78F,0
98772,B0CD81WRRM,0
63654,B0C8G5X21Z,1
52566,B09GNQD678,1
283,B00DKVBXHA,0
59639,B08RYNW53R,0
95749,B09Q35TKWW,0
63789,B0BX8XYFHL,1
28535,B0193MPTNS,0
71067,B09B2W2QF7,0
7493,B07873T5N3,0
65910,B08ZHFF9HD,0
66563,B0BJ7DYMVH,0
8982,B00E71BRLE,1
30829,B015133OMQ,0
74669,B09KMP5XGJ,0
5210,B09C8XVC23,1
86164,B08S49Y41X,0
41468,B075HH8NFD,0
93873,B07W7VNRKN,1
51877,B08DVC6XLW,0
39322,B07ZR8KF4C,1
98549,B09QQPYN1N,1
81417,B085P2T8S1,0
9603,B082LN5S7X,1
34761,B0033YK9A6,0
9017,B08HVXK8H9,0
20677,B0BF5Y161R,0
92215,B004OT4SYM,0
85718,B08JF95TZL,1
72693,B01AX2WW28,0
13578,B0BWV6N9QZ,1
14030,B0B3GLG4DF,1
36931,B003BZYZSO,1
44943,B07CPSJRT4,0
34601,B0813DXPNQ,0
6659,B0C7TKVX5T,0
36266,B0C44452WN,0
17147,B0BTS17N1T,0
21179,B07ZF15ZF7,0
56058,B0011DW2KG,1
9863,B00BHGJHMI,0
48394,B0C2KJLZPX,0
56334,B011NM4VQM,1
47796,B01J1ZLL84,0
27536,B01JN9XJYM,0
46358,B09GCN16Y6,0
53265,B0C27XZ3PX,0
31030,B0BGBRLK39,0
23207,B00AC3F8G6,1
96543,B005XACYD8,0
53965,B07QZP68BT,1
91918,B0BLYY4Y6J,0
5076,B08Q7VB6P4,0
60333,B0103KUF6K,0
29832,B00WO4KPTG,1
25314,B0B4PRYJ6T,0
9100,B07T79RK2R,0
66769,B0C994328D,0
70283,B01N4IPVH4,0
15119,B07FDCX6HR,0
34796,B09H2B38F4,1
56960,B09DMN19ND,0
41115,B0CCJRGPYG,0
67034,B0CBPX299N,0
75575,B07QJXHCK6,1
92902,B0BNHRS4GB,1
70576,B0C4Y5Q468,0
9172,B08R21MLWQ,0
81679,B01FUZ6DD2,0
16335,B09FM6HDVH,0
87411,B0BPJBN33Y,1
91385,B0C4DYSB6W,0
25145,B0B18PT5T8,0
49696,B07ZV82K37,0
39447,B0989NNG8Q,0
54,B00PE7WUP2,0
56347,B0C55BLRZP,0
42238,B0B316LSP5,0
88556,B07ZSCN1RD,0
96464,B08KLY772H,0
37197,B0BR5PSVL3,0
81168,B09YCFG52V,1
98454,B0C9GLQMNC,0
29445,B0919R7GJR,0
6058,B01F78T44W,0
80121,B0BDHLBG61,0
82545,B097T1KLCN,1
91273,B091D8YGV9,0
31980,B0BJFNX8K9,0
727,B09HL8RVCV,0
28684,B0824ZR794,0
91215,B09YGNRN36,0
73061,B00FG93DZO,0
15907,B08JQK256T,1
60902,B093GNXHN6,0
78048,B0C4SGVZKH,0
58009,B091CVH2BK,0
66163,B0BP2YR51V,0
71811,B09XBXZDJZ,0
97473,B00EI7DPS0,0
98537,B08MFRVYMK,0
36348,B000XG6TS8,0
31359,B07CVQG2LG,0
93526,B0B3Y4ZS6S,0
44021,B07K98CVCC,0
10562,B098XJD5WB,1
50206,B0B57KZDP9,0
8419,B08R9F56WG,1
71122,B0BGQZWTJD,0
27111,B08NZSCQPS,0
76557,B08L6PR8ZF,0
75457,B0BJ17S2MG,0
46106,B0BP67MM9F,0
54922,B09KMJD7YL,0
71583,B004ZQUWH6,0
63994,B0BZRQG6YV,1
63655,B07XQKNH42,0
87671,B00J5I2LG4,0
61262,B0BRN5GQQR,0
70009,B07QN2K5Q9,0
77581,B00B8EF8BS,0
11004,B0C3JNVMLV,0
60516,B003CLTWRG,1
49690,B0C89HRMJY,0
42841,B076H31GM1,0
49693,B0CCVPHF58,0
55256,B0CFHKS86B,0
61645,B0CCQ8LKKG,0
6827,B0BVZWLKR1,1
8994,B09BB753CC,1
4068,B0B9HJC8LH,1
2672,B09YS1P9VQ,0
16545,B0071OUJDQ,0
73921,B075Y2GGR7,0
33587,B01KNEW3T8,0
79594,B0C6JQR6RP,0
21466,B07MJWHM6S,1
3366,B0B3D9QTY6,0
49193,B0CDGSJXSF,0
25996,B0B8GZX9F6,0
82214,B07J55WMBS,1
39530,B0BV5LJLCQ,0
74178,B0B45PP6L6,0
56149,B0733JJ82L,0
66318,B07S8YWBBX,0
55058,B08K2QJXN4,1
47473,B096TM9C8D,0
60259,B0B59GZQNK,0
96181,B08227KYX1,0
35401,B09NBFG1C4,0
70540,B0BF9TN6CL,0
95818,B000K6VPKS,1
32178,B01D2EDB1U,1
59088,B0B6QGL1BK,0
74692,B08H2KKRWT,0
44093,B0B8782WLJ,0
42601,B0C7Z4V1DT,0
46508,B000BPK8F6,1
78140,B0BSV3TF24,0
67716,B0C8NCJKQ6,1
94382,B0BF8VWC8Q,0
